f / Hz,Re(V) / V,Im(V) / V
1.11E+00,2.29800351277328e+00,-2.36776898545252e+00
1.11E+00,2.27200925876180e+00,-2.38956180442010e+00
1.12E+00,2.24549906741388e+00,-2.41075854896552e+00
1.12E+00,2.21849450303266e+00,-2.43134114525751e+00
1.13E+00,2.19101795365931e+00,-2.45129256984365e+00
1.13E+00,2.16309256678178e+00,-2.47059689564656e+00
1.14E+00,2.13474218203582e+00,-2.48923933321933e+00
1.14E+00,2.10599126130707e+00,-2.50720626703772e+00
1.15E+00,2.07686481666020e+00,-2.52448528664766e+00
1.15E+00,2.04738833653511e+00,-2.54106521252773e+00
1.16E+00,2.01758771065887e+00,-2.55693611656909e+00
1.16E+00,1.98748915412618e+00,-2.57208933711838e+00
1.17E+00,1.95711913110133e+00,-2.58651748857215e+00
1.17E+00,1.92650427858933e+00,-2.60021446555330e+00
1.18E+00,1.89567133071519e+00,-2.61317544174162e+00
1.18E+00,1.86464704393693e+00,-2.62539686346961e+00
1.19E+00,1.83345812360073e+00,-2.63687643823227e+00
1.19E+00,1.80213115222631e+00,-2.64761311829452e+00
1.20E+00,1.77069251988647e+00,-2.65760707961194e+00
1.20E+00,1.73916835701867e+00,-2.66685969630947e+00
1.21E+00,1.70758446997711e+00,-2.67537351098841e+00
1.21E+00,1.67596627960338e+00,-2.68315220115399e+00
1.22E+00,1.64433876306134e+00,-2.69020054207445e+00
1.22E+00,1.61272639914856e+00,-2.69652436639710e+00
1.23E+00,1.58115311726297e+00,-2.70213052085797e+00
1.23E+00,1.54964225016911e+00,-2.70702682042905e+00
1.24E+00,1.51821649067499e+00,-2.71122200025082e+00
1.24E+00,1.48689785229703e+00,-2.71472566569849e+00
1.24E+00,1.45570763395875e+00,-2.71754824092707e+00
1.25E+00,1.42466638873796e+00,-2.71970091623513e+00
1.25E+00,1.39379389664762e+00,-2.72119559457812e+00
1.26E+00,1.36310914140863e+00,-2.72204483755123e+00
