in s,C1 in V,C2 in V
-4.489920E+00,-1.68945E+00,-2.96387E+00
-4.488960E+00,-1.68945E+00,-2.98340E+00
-4.488000E+00,-1.68945E+00,-2.94434E+00
-4.487040E+00,-1.65039E+00,-2.98340E+00
-4.486080E+00,-1.65039E+00,-2.99316E+00
-4.485120E+00,-1.59180E+00,-3.00293E+00
-4.484160E+00,-1.68945E+00,-2.97363E+00
-4.483200E+00,-1.59180E+00,-2.97363E+00
-4.482240E+00,-1.65039E+00,-2.97363E+00
-4.481280E+00,-1.61133E+00,-2.97363E+00
-4.480320E+00,-1.61133E+00,-2.97363E+00
-4.479360E+00,-1.57227E+00,-2.98340E+00
-4.478400E+00,-1.53320E+00,-2.96387E+00
-4.477440E+00,-1.57227E+00,-3.02246E+00
-4.476480E+00,-1.59180E+00,-3.00293E+00
-4.475520E+00,-1.55273E+00,-3.01270E+00
-4.474560E+00,-1.55273E+00,-3.01270E+00
-4.473600E+00,-1.51367E+00,-3.01270E+00
-4.472640E+00,-1.45508E+00,-3.02246E+00
-4.471680E+00,-1.47461E+00,-2.98340E+00
-4.470720E+00,-1.47461E+00,-2.99316E+00
-4.469760E+00,-1.49414E+00,-2.98340E+00
-4.468800E+00,-1.45508E+00,-2.97363E+00
-4.467840E+00,-1.43555E+00,-2.96387E+00
-4.466880E+00,-1.39648E+00,-3.02246E+00
-4.465920E+00,-1.47461E+00,-3.01270E+00
-4.464960E+00,-1.39648E+00,-2.98340E+00
-4.464000E+00,-1.39648E+00,-2.98340E+00
-4.463040E+00,-1.41602E+00,-3.00293E+00
-4.462080E+00,-1.35742E+00,-2.98340E+00
-4.461120E+00,-1.33789E+00,-3.00293E+00
-4.460160E+00,-1.39648E+00,-3.00293E+00
-4.459200E+00,-1.29883E+00,-2.97363E+00
-4.458240E+00,-1.29883E+00,-2.99316E+00
-4.457280E+00,-1.35742E+00,-2.97363E+00
-4.456320E+00,-1.27930E+00,-2.98340E+00
-4.455360E+00,-1.27930E+00,-2.97363E+00
-4.454400E+00,-1.29883E+00,-2.95410E+00
-4.453440E+00,-1.24023E+00,-2.96387E+00
-4.452480E+00,-1.22070E+00,-2.97363E+00
-4.451520E+00,-1.24023E+00,-2.97363E+00
-4.450560E+00,-1.22070E+00,-2.98340E+00
-4.449600E+00,-1.20117E+00,-2.96387E+00
-4.448640E+00,-1.18164E+00,-2.94434E+00
-4.447680E+00,-1.22070E+00,-2.96387E+00
-4.446720E+00,-1.20117E+00,-2.94434E+00
-4.445760E+00,-1.20117E+00,-2.95410E+00
-4.444800E+00,-1.10352E+00,-2.95410E+00
-4.443840E+00,-1.16211E+00,-2.95410E+00
-4.442880E+00,-1.14258E+00,-2.95410E+00
-4.441920E+00,-1.14258E+00,-2.95410E+00
-4.440960E+00,-1.08398E+00,-2.93457E+00
-4.440000E+00,-1.06445E+00,-2.92480E+00
-4.439040E+00,-1.02539E+00,-2.93457E+00
-4.438080E+00,-1.06445E+00,-2.93457E+00
-4.437120E+00,-1.06445E+00,-2.89551E+00
-4.436160E+00,-1.02539E+00,-2.93457E+00
-4.435200E+00,-1.04492E+00,-2.91504E+00
-4.434240E+00,-1.00586E+00,-2.91504E+00
-4.433280E+00,-9.86328E-01,-2.90527E+00
-4.432320E+00,-1.00586E+00,-2.87598E+00
-4.431360E+00,-9.86328E-01,-2.88574E+00
-4.430400E+00,-9.08203E-01,-2.93457E+00
-4.429440E+00,-9.47266E-01,-2.89551E+00
-4.428480E+00,-9.27734E-01,-2.89551E+00
-4.427520E+00,-9.66797E-01,-2.90527E+00
-4.426560E+00,-9.08203E-01,-2.88574E+00
-4.425600E+00,-8.69141E-01,-2.86621E+00
-4.424640E+00,-8.69141E-01,-2.83691E+00
-4.423680E+00,-8.88672E-01,-2.87598E+00
-4.422720E+00,-8.49609E-01,-2.85645E+00
-4.421760E+00,-8.49609E-01,-2.86621E+00
-4.420800E+00,-7.91016E-01,-2.82715E+00
-4.419840E+00,-7.71484E-01,-2.82715E+00
-4.418880E+00,-7.51953E-01,-2.82715E+00
-4.417920E+00,-7.71484E-01,-2.81738E+00
-4.416960E+00,-7.71484E-01,-2.82715E+00
-4.416000E+00,-7.51953E-01,-2.80762E+00
-4.415040E+00,-7.71484E-01,-2.80762E+00
-4.414080E+00,-7.12891E-01,-2.81738E+00
-4.413120E+00,-7.32422E-01,-2.78809E+00
-4.412160E+00,-7.12891E-01,-2.81738E+00
-4.411200E+00,-6.54297E-01,-2.80762E+00
-4.410240E+00,-6.54297E-01,-2.79785E+00
-4.409280E+00,-6.15234E-01,-2.75879E+00
-4.408320E+00,-6.73828E-01,-2.78809E+00
-4.407360E+00,-5.76172E-01,-2.74902E+00
-4.406400E+00,-5.95703E-01,-2.75879E+00
-4.405440E+00,-5.56641E-01,-2.74902E+00
-4.404480E+00,-6.34766E-01,-2.72949E+00
-4.403520E+00,-5.76172E-01,-2.70996E+00
-4.402560E+00,-5.17578E-01,-2.72949E+00
-4.401600E+00,-5.17578E-01,-2.72949E+00
-4.400640E+00,-5.37109E-01,-2.70996E+00
-4.399680E+00,-5.17578E-01,-2.69043E+00
-4.398720E+00,-4.98047E-01,-2.68066E+00
-4.397760E+00,-4.78516E-01,-2.69043E+00
-4.396800E+00,-4.58984E-01,-2.70020E+00
-4.395840E+00,-4.98047E-01,-2.70996E+00
-4.394880E+00,-4.39453E-01,-2.65137E+00
-4.393920E+00,-4.58984E-01,-2.65137E+00
-4.392960E+00,-4.39453E-01,-2.65137E+00
-4.392000E+00,-4.00391E-01,-2.64160E+00
-4.391040E+00,-3.41797E-01,-2.64160E+00
-4.390080E+00,-3.41797E-01,-2.58301E+00
-4.389120E+00,-3.22266E-01,-2.59277E+00
-4.388160E+00,-3.22266E-01,-2.60254E+00
-4.387200E+00,-3.22266E-01,-2.59277E+00
-4.386240E+00,-3.02734E-01,-2.55371E+00
-4.385280E+00,-2.83203E-01,-2.54395E+00
