time	V(y)	V(recti)
3.183591686336529e+00	1.569490e+00	1.531510e-03
3.187826015954229e+00	1.508578e+00	9.567926e-04
3.192169842667274e+00	1.445887e+00	5.914499e-04
3.196467070413748e+00	1.383738e+00	3.669889e-04
3.200814528095368e+00	1.320798e+00	2.265267e-04
3.205110701779070e+00	1.258603e+00	1.405442e-04
3.209443754249655e+00	1.195942e+00	8.689490e-05
3.213745872024276e+00	1.133859e+00	5.388860e-05
3.218076262053939e+00	1.071559e+00	3.332551e-05
3.222382773408647e+00	1.009855e+00	2.065712e-05
3.226710062722427e+00	9.481625e-01	1.277783e-05
3.231017787264829e+00	8.871147e-01	7.919391e-06
3.239650767070513e+00	7.660854e-01	3.036070e-06
3.248830294346639e+00	6.397745e-01	1.115612e-06
3.254260996522515e+00	5.664416e-01	6.250217e-07
3.261326707423107e+00	4.727873e-01	2.977429e-07
3.270145402470320e+00	3.590572e-01	1.181862e-07
3.282688905455919e+00	2.043475e-01	3.189103e-08
3.301552529706139e+00	-1.531541e-02	3.645055e-10
3.314333332800000e+00	-1.561581e-01	3.739290e-11
3.317333332799999e+00	-1.871040e-01	-3.752954e-09
3.327333332800004e+00	-2.860337e-01	-1.377581e-09
3.333333332800001e+00	-3.422633e-01	-2.996330e-09
3.334333332800000e+00	-3.514194e-01	2.825841e-06
3.334433332800000e+00	-3.523291e-01	9.452279e-07
3.334633332799999e+00	-3.541471e-01	-2.965804e-09
3.335333332799999e+00	-3.604927e-01	-1.825822e-08
3.343967618514278e+00	-4.344639e-01	-8.961870e-09
3.352601904228557e+00	-5.035475e-01	-2.017971e-09
3.361236189942836e+00	-5.677434e-01	2.573480e-09
3.369870475657115e+00	-6.270516e-01	4.812483e-09
3.378504761371393e+00	-6.814722e-01	4.699037e-09
3.387139047085673e+00	-7.310051e-01	2.233143e-09
3.395773332799951e+00	-7.756503e-01	-2.585199e-09
3.415773332799951e+00	-8.603910e-01	-2.242183e-09
3.435773332799950e+00	-9.188147e-01	-1.803335e-09
3.455773332799950e+00	-9.522290e-01	-1.278618e-09
3.475773332799950e+00	-9.623429e-01	2.530490e-10
3.495773332799949e+00	-9.533181e-01	1.495126e-06
3.506509408478191e+00	-9.409006e-01	5.103882e-05
3.512035012700970e+00	-9.319632e-01	3.628639e-04
3.515009785706715e+00	-9.264541e-01	1.353754e-03
3.516921790511628e+00	-9.226648e-01	3.568215e-03
3.518288949620160e+00	-9.198292e-01	7.691790e-03
3.519731260407896e+00	-9.167111e-01	1.639740e-02
3.521183621368836e+00	-9.133932e-01	3.115544e-02
3.523615965437640e+00	-9.073727e-01	6.537282e-02
3.526916105607574e+00	-8.983746e-01	1.190837e-01
3.529968997682611e+00	-8.889070e-01	1.715715e-01
3.535702154130561e+00	-8.675697e-01	2.726684e-01
3.547168467026463e+00	-8.126760e-01	4.784478e-01
3.567168467026463e+00	-6.869781e-01	8.386219e-01
3.587168467026462e+00	-5.251353e-01	1.191622e+00
3.607168467026462e+00	-3.254575e-01	1.527982e+00
3.627168467026461e+00	-9.220374e-02	1.839099e+00
3.647168467026461e+00	1.691186e-01	2.117382e+00
3.667168467026460e+00	4.519435e-01	2.356178e+00
3.687168467026460e+00	7.488564e-01	2.549881e+00
3.707168467026460e+00	1.051822e+00	2.693974e+00
3.727168467026459e+00	1.354698e+00	2.795639e+00
3.742663064447079e+00	1.583074e+00	2.831903e+00
3.750999999499999e+00	1.701647e+00	2.835754e+00
3.751999999499999e+00	1.715647e+00	2.835591e+00
3.752099999499999e+00	1.717043e+00	2.835562e+00
3.752299999499998e+00	1.719832e+00	2.835501e+00
3.752999999499998e+00	1.729581e+00	2.835250e+00
3.758777142357134e+00	1.808569e+00	2.829000e+00
3.764554285214270e+00	1.884868e+00	2.817984e+00
3.770331428071406e+00	1.958477e+00	2.802202e+00
3.776108570928542e+00	2.029396e+00	2.781655e+00
3.781885713785679e+00	2.097625e+00	2.756342e+00
3.787662856642815e+00	2.163164e+00	2.726263e+00
3.793439999499951e+00	2.226012e+00	2.691418e+00
3.813439999499950e+00	2.421665e+00	2.546301e+00
3.833439999499950e+00	2.573910e+00	2.351772e+00
3.853439999499949e+00	2.677460e+00	2.112430e+00
3.873439999499949e+00	2.728255e+00	1.833996e+00
3.893439999499948e+00	2.723587e+00	1.523269e+00
3.913439999499948e+00	2.662218e+00	1.188248e+00
3.933439999499948e+00	2.544491e+00	8.388056e-01
3.953439999499947e+00	2.372719e+00	4.933828e-01
3.973439999499947e+00	2.156397e+00	1.871543e-01
3.984762605608845e+00	2.016008e+00	6.660642e-02
3.992602900777278e+00	1.911660e+00	2.388700e-02
3.996058889502939e+00	1.864354e+00	1.518568e-02
3.999485956094505e+00	1.816759e+00	1.046254e-02
4.003580511851595e+00	1.759365e+00	6.747960e-03
4.008201560629709e+00	1.694052e+00	4.061004e-03
4.012581610150153e+00	1.631695e+00	2.485137e-03
4.016925019649239e+00	1.569494e+00	1.531510e-03
