time	V(y)	V(triangle)
2.315050429606202e-02	-1.592229e-02	8.860201e-02
2.322564731227672e-02	-1.607225e-02	8.890259e-02
2.330016838301319e-02	-1.622090e-02	8.920068e-02
2.339086157349257e-02	-1.640165e-02	8.956344e-02
2.346554880924145e-02	-1.655029e-02	8.986220e-02
2.353930668270721e-02	-1.669680e-02	9.015723e-02
2.363008411811762e-02	-1.687683e-02	9.052034e-02
2.370485134641953e-02	-1.702498e-02	9.081940e-02
2.377872228868583e-02	-1.717128e-02	9.111489e-02
2.386876918656355e-02	-1.734947e-02	9.147508e-02
2.394352227500463e-02	-1.749719e-02	9.177409e-02
2.401734051137439e-02	-1.764277e-02	9.206937e-02
2.410638344148452e-02	-1.781810e-02	9.242553e-02
2.418111201895456e-02	-1.796512e-02	9.272445e-02
2.425486168873547e-02	-1.811014e-02	9.301945e-02
2.434233004623465e-02	-1.828200e-02	9.336932e-02
2.441705535847305e-02	-1.842861e-02	9.366822e-02
2.449072224686688e-02	-1.857287e-02	9.396289e-02
2.457585883900393e-02	-1.873932e-02	9.430344e-02
2.465069160237832e-02	-1.888549e-02	9.460276e-02
2.472430015102134e-02	-1.902919e-02	9.489720e-02
2.480628441630728e-02	-1.918913e-02	9.522514e-02
2.488173672423599e-02	-1.933614e-02	9.552695e-02
2.495548890801658e-02	-1.947957e-02	9.582195e-02
2.503379776540626e-02	-1.963161e-02	9.613519e-02
2.511114094724221e-02	-1.978160e-02	9.644456e-02
2.518547426389617e-02	-1.992568e-02	9.674190e-02
2.526046961933659e-02	-2.007096e-02	9.704188e-02
2.533718545044650e-02	-2.021940e-02	9.734874e-02
2.541306450403624e-02	-2.036597e-02	9.765226e-02
2.548540713216596e-02	-2.050545e-02	9.794163e-02
2.556291736858185e-02	-2.065471e-02	9.825167e-02
2.564198289810449e-02	-2.080686e-02	9.856793e-02
2.571350884689849e-02	-2.094443e-02	9.885404e-02
2.579343864925931e-02	-2.109802e-02	9.917375e-02
2.586531980188767e-02	-2.123592e-02	9.946128e-02
2.593634025969394e-02	-2.137192e-02	9.974536e-02
2.602083686001677e-02	-2.153347e-02	1.000834e-01
2.609380886723400e-02	-2.167288e-02	1.003752e-01
2.616605364738689e-02	-2.181083e-02	1.006642e-01
2.626063508759913e-02	-2.199126e-02	1.010425e-01
2.633653066527941e-02	-2.213582e-02	1.013461e-01
2.641168357419588e-02	-2.227867e-02	1.016467e-01
