time	V(y)	V(square)
9.582080505253998e-03	5.046296e-02	4.000000e+00
9.587666570510578e-03	5.052179e-02	4.000000e+00
9.591283469099210e-03	5.055412e-02	4.000000e+00
9.593660153747408e-03	5.057730e-02	4.000000e+00
9.595395523000150e-03	5.059359e-02	4.000000e+00
9.596900397419006e-03	5.061040e-02	4.000000e+00
9.598467008792966e-03	5.062554e-02	4.000000e+00
9.600030230068057e-03	5.064095e-02	4.000000e+00
9.601597545696450e-03	5.065709e-02	4.000000e+00
9.603183739436361e-03	5.067175e-02	4.000000e+00
9.604720983283244e-03	5.068767e-02	4.000000e+00
9.606199728366960e-03	5.070103e-02	4.000000e+00
9.607689425806143e-03	5.071587e-02	4.000000e+00
9.609235592201060e-03	5.073043e-02	4.000000e+00
9.610969965805793e-03	5.074659e-02	4.000000e+00
9.613091408752439e-03	5.076628e-02	4.000000e+00
9.615995910920105e-03	5.079152e-02	4.000000e+00
9.620523086859123e-03	5.083279e-02	4.000000e+00
