in s,C1 in V,C2 in V
-8.4150E+00,1.75293E+00,2.46582E+00
-8.4132E+00,1.79199E+00,2.61230E+00
-8.4114E+00,1.79199E+00,2.41699E+00
-8.4096E+00,1.78223E+00,2.41699E+00
-8.4078E+00,1.83105E+00,2.56348E+00
-8.4060E+00,1.83105E+00,2.66113E+00
-8.4042E+00,1.81152E+00,2.66113E+00
-8.4024E+00,1.83105E+00,2.75879E+00
-8.4006E+00,1.83105E+00,2.66113E+00
-8.3988E+00,1.87012E+00,2.75879E+00
-8.3970E+00,1.85059E+00,2.80762E+00
-8.3952E+00,1.87012E+00,2.90527E+00
-8.3934E+00,1.86035E+00,2.90527E+00
-8.3916E+00,1.87988E+00,3.00293E+00
-8.3898E+00,1.88965E+00,2.90527E+00
-8.3880E+00,1.89941E+00,3.00293E+00
-8.3862E+00,1.91895E+00,2.95410E+00
-8.3844E+00,1.91895E+00,3.10059E+00
-8.3826E+00,1.92871E+00,3.05176E+00
-8.3808E+00,1.92871E+00,3.14941E+00
-8.3790E+00,1.95801E+00,3.10059E+00
-8.3772E+00,1.94824E+00,3.24707E+00
-8.3754E+00,1.96777E+00,3.24707E+00
-8.3736E+00,1.98730E+00,3.24707E+00
-8.3718E+00,1.95801E+00,3.24707E+00
-8.3700E+00,1.98730E+00,3.29590E+00
-8.3682E+00,1.96777E+00,3.24707E+00
-8.3664E+00,1.99707E+00,3.24707E+00
-8.3646E+00,1.99707E+00,3.44238E+00
-8.3628E+00,2.02637E+00,3.54004E+00
-8.3610E+00,2.02637E+00,3.44238E+00
-8.3592E+00,2.02637E+00,3.54004E+00
-8.3574E+00,2.01660E+00,3.63770E+00
-8.3556E+00,2.02637E+00,3.54004E+00
-8.3538E+00,2.06543E+00,3.54004E+00
-8.3520E+00,2.07520E+00,3.58887E+00
-8.3502E+00,2.07520E+00,3.49121E+00
-8.3484E+00,2.07520E+00,3.73535E+00
-8.3466E+00,2.09473E+00,3.68652E+00
-8.3448E+00,2.07520E+00,3.78418E+00
-8.3430E+00,2.08496E+00,3.83301E+00
-8.3412E+00,2.10449E+00,3.93066E+00
-8.3394E+00,2.09473E+00,3.78418E+00
-8.3376E+00,2.12402E+00,3.93066E+00
-8.3358E+00,2.11426E+00,3.97949E+00
-8.3340E+00,2.11426E+00,3.97949E+00
-8.3322E+00,2.12402E+00,3.88184E+00
-8.3304E+00,2.16309E+00,4.07715E+00
-8.3286E+00,2.16309E+00,3.97949E+00
-8.3268E+00,2.15332E+00,4.17480E+00
-8.3250E+00,2.16309E+00,4.07715E+00
-8.3232E+00,2.15332E+00,4.17480E+00
-8.3214E+00,2.17285E+00,4.12598E+00
-8.3196E+00,2.18262E+00,4.12598E+00
-8.3178E+00,2.18262E+00,4.22363E+00
-8.3160E+00,2.20215E+00,4.27246E+00
-8.3142E+00,2.19238E+00,4.32129E+00
-8.3124E+00,2.21191E+00,4.32129E+00
-8.3106E+00,2.19238E+00,4.17480E+00
-8.3088E+00,2.24121E+00,4.32129E+00
-8.3070E+00,2.22168E+00,4.37012E+00
-8.3052E+00,2.22168E+00,4.37012E+00
-8.3034E+00,2.23145E+00,4.56543E+00
-8.3016E+00,2.22168E+00,4.46777E+00
-8.2998E+00,2.23145E+00,4.51660E+00
-8.2980E+00,2.25098E+00,4.61426E+00
-8.2962E+00,2.25098E+00,4.41895E+00
-8.2944E+00,2.26074E+00,4.66309E+00
-8.2926E+00,2.25098E+00,4.61426E+00
-8.2908E+00,2.27051E+00,4.80957E+00
-8.2890E+00,2.29004E+00,4.71191E+00
-8.2872E+00,2.29004E+00,4.66309E+00
-8.2854E+00,2.29980E+00,4.76074E+00
-8.2836E+00,2.29980E+00,4.71191E+00
-8.2818E+00,2.29004E+00,4.71191E+00
-8.2800E+00,2.29980E+00,4.66309E+00
-8.2782E+00,2.31934E+00,4.71191E+00
-8.2764E+00,2.32910E+00,4.90723E+00
-8.2746E+00,2.31934E+00,4.80957E+00
-8.2728E+00,2.29980E+00,4.85840E+00
-8.2710E+00,2.32910E+00,5.00488E+00
-8.2692E+00,2.31934E+00,5.00488E+00
-8.2674E+00,2.35840E+00,5.15137E+00
-8.2656E+00,2.34863E+00,5.00488E+00
-8.2638E+00,2.33887E+00,5.10254E+00
-8.2620E+00,2.32910E+00,5.24902E+00
-8.2602E+00,2.34863E+00,4.90723E+00
-8.2584E+00,2.34863E+00,5.05371E+00
-8.2566E+00,2.36816E+00,5.15137E+00
-8.2548E+00,2.36816E+00,5.15137E+00
-8.2530E+00,2.36816E+00,5.15137E+00
-8.2512E+00,2.36816E+00,5.20020E+00
-8.2494E+00,2.36816E+00,5.34668E+00
-8.2476E+00,2.37793E+00,5.34668E+00
-8.2458E+00,2.39746E+00,5.34668E+00
-8.2440E+00,2.37793E+00,5.29785E+00
-8.2422E+00,2.40723E+00,5.39551E+00
-8.2404E+00,2.38770E+00,5.34668E+00
-8.2386E+00,2.35840E+00,5.34668E+00
-8.2368E+00,2.38770E+00,5.49316E+00
-8.2350E+00,2.40723E+00,5.39551E+00
-8.2332E+00,2.39746E+00,5.44434E+00
-8.2314E+00,2.41699E+00,5.39551E+00
-8.2296E+00,2.39746E+00,5.49316E+00
-8.2278E+00,2.40723E+00,5.59082E+00
-8.2260E+00,2.40723E+00,5.54199E+00
-8.2242E+00,2.39746E+00,5.59082E+00
-8.2224E+00,2.40723E+00,5.63965E+00
-8.2206E+00,2.42676E+00,5.63965E+00
-8.2188E+00,2.40723E+00,5.54199E+00
-8.2170E+00,2.40723E+00,5.59082E+00
-8.2152E+00,2.40723E+00,5.73730E+00
-8.2134E+00,2.41699E+00,5.73730E+00
-8.2116E+00,2.39746E+00,5.83496E+00
-8.2098E+00,2.43652E+00,5.68848E+00
-8.2080E+00,2.43652E+00,5.78613E+00
-8.2062E+00,2.41699E+00,5.78613E+00
-8.2044E+00,2.45605E+00,5.73730E+00
-8.2026E+00,2.41699E+00,5.78613E+00
-8.2008E+00,2.43652E+00,5.78613E+00
-8.1990E+00,2.43652E+00,5.88379E+00
-8.1972E+00,2.44629E+00,5.98145E+00
-8.1954E+00,2.45605E+00,5.93262E+00
-8.1936E+00,2.44629E+00,5.78613E+00
-8.1918E+00,2.44629E+00,5.83496E+00
-8.1900E+00,2.44629E+00,5.93262E+00
-8.1882E+00,2.43652E+00,5.98145E+00
-8.1864E+00,2.46582E+00,6.07910E+00
-8.1846E+00,2.45605E+00,5.98145E+00
-8.1828E+00,2.44629E+00,6.07910E+00
-8.1810E+00,2.43652E+00,6.17676E+00
-8.1792E+00,2.45605E+00,6.03027E+00
-8.1774E+00,2.42676E+00,6.03027E+00
-8.1756E+00,2.43652E+00,6.07910E+00
-8.1738E+00,2.44629E+00,6.07910E+00
-8.1720E+00,2.45605E+00,5.93262E+00
-8.1702E+00,2.44629E+00,6.17676E+00
-8.1684E+00,2.45605E+00,6.17676E+00
-8.1666E+00,2.43652E+00,6.17676E+00
-8.1648E+00,2.40723E+00,6.17676E+00
-8.1630E+00,2.45605E+00,6.22559E+00
-8.1612E+00,2.46582E+00,6.37207E+00
-8.1594E+00,2.42676E+00,6.17676E+00
