in s,C1 in V,C2 in V
-2.252160E+00,5.37109E-01,4.34570E-01
-2.251680E+00,5.17578E-01,4.15039E-01
-2.251200E+00,4.98047E-01,4.24805E-01
-2.250720E+00,5.17578E-01,4.05273E-01
-2.250240E+00,5.17578E-01,3.95508E-01
-2.249760E+00,5.37109E-01,3.95508E-01
-2.249280E+00,5.17578E-01,3.85742E-01
-2.248800E+00,5.76172E-01,4.15039E-01
-2.248320E+00,5.76172E-01,3.85742E-01
-2.247840E+00,5.17578E-01,3.85742E-01
-2.247360E+00,5.56641E-01,3.85742E-01
-2.246880E+00,5.76172E-01,3.56445E-01
-2.246400E+00,5.17578E-01,3.75977E-01
-2.245920E+00,5.56641E-01,3.66211E-01
-2.245440E+00,5.76172E-01,3.66211E-01
-2.244960E+00,5.56641E-01,3.56445E-01
-2.244480E+00,5.56641E-01,3.46680E-01
-2.244000E+00,5.76172E-01,3.66211E-01
-2.243520E+00,5.76172E-01,3.27148E-01
-2.243040E+00,5.95703E-01,3.27148E-01
-2.242560E+00,6.15234E-01,3.27148E-01
-2.242080E+00,5.56641E-01,3.36914E-01
-2.241600E+00,5.76172E-01,3.46680E-01
-2.241120E+00,6.15234E-01,3.07617E-01
-2.240640E+00,6.15234E-01,3.27148E-01
-2.240160E+00,5.76172E-01,3.07617E-01
-2.239680E+00,6.54297E-01,3.17383E-01
-2.239200E+00,6.34766E-01,2.97852E-01
-2.238720E+00,6.54297E-01,2.78320E-01
-2.238240E+00,6.54297E-01,3.17383E-01
-2.237760E+00,6.54297E-01,2.88086E-01
-2.237280E+00,6.34766E-01,2.68555E-01
-2.236800E+00,6.54297E-01,2.49023E-01
-2.236320E+00,6.15234E-01,2.78320E-01
-2.235840E+00,6.93359E-01,2.68555E-01
-2.235360E+00,6.54297E-01,2.68555E-01
-2.234880E+00,7.12891E-01,2.68555E-01
-2.234400E+00,6.54297E-01,2.58789E-01
-2.233920E+00,6.93359E-01,2.29492E-01
-2.233440E+00,7.12891E-01,2.49023E-01
-2.232960E+00,6.54297E-01,2.58789E-01
-2.232480E+00,6.93359E-01,2.39258E-01
-2.232000E+00,6.54297E-01,2.29492E-01
-2.231520E+00,7.12891E-01,2.29492E-01
-2.231040E+00,6.93359E-01,2.19727E-01
-2.230560E+00,7.32422E-01,2.19727E-01
-2.230080E+00,7.12891E-01,2.09961E-01
-2.229600E+00,7.32422E-01,1.90430E-01
-2.229120E+00,7.12891E-01,2.19727E-01
-2.228640E+00,6.93359E-01,1.90430E-01
-2.228160E+00,8.10547E-01,2.00195E-01
-2.227680E+00,7.32422E-01,2.09961E-01
-2.227200E+00,7.51953E-01,2.09961E-01
-2.226720E+00,7.32422E-01,2.00195E-01
-2.226240E+00,7.91016E-01,1.90430E-01
-2.225760E+00,7.51953E-01,1.90430E-01
-2.225280E+00,7.32422E-01,1.80664E-01
-2.224800E+00,7.71484E-01,2.00195E-01
-2.224320E+00,7.32422E-01,1.70898E-01
-2.223840E+00,7.91016E-01,1.70898E-01
-2.223360E+00,7.32422E-01,1.80664E-01
-2.222880E+00,8.30078E-01,1.61133E-01
-2.222400E+00,7.91016E-01,1.51367E-01
-2.221920E+00,7.32422E-01,1.61133E-01
-2.221440E+00,8.10547E-01,1.80664E-01
-2.220960E+00,7.91016E-01,1.41602E-01
-2.220480E+00,7.91016E-01,1.51367E-01
-2.220000E+00,8.49609E-01,1.41602E-01
-2.219520E+00,8.30078E-01,1.41602E-01
-2.219040E+00,8.49609E-01,1.51367E-01
-2.218560E+00,8.49609E-01,1.31836E-01
